sku_id,week1,week2,week3,week4,week5
SK014mU5,1 ,2 ,2 ,3 ,1 
SK014TYJ,13 ,16 ,22 ,28 ,9 
SK017ChA,1 ,1 ,1 ,2 ,1 
SK017ZaL,2 ,2 ,3 ,3 ,1 
SK018hXR,1 ,1 ,2 ,2 ,1 
SK019ckE,3 ,3 ,4 ,6 ,2 
SK019FqH,0 ,1 ,1 ,1 ,0 
SK01aJAc,1 ,2 ,2 ,3 ,1 
SK01arF3,1 ,2 ,2 ,3 ,1 
SK01aSEB,1 ,1 ,1 ,1 ,0 
SK01BLtw,2 ,3 ,4 ,5 ,2 
SK01daML,1 ,1 ,1 ,2 ,1 
SK01dvIw,1 ,1 ,2 ,3 ,1 
SK01DYPO,2 ,3 ,3 ,5 ,2 
SK01eQ75,1 ,1 ,2 ,2 ,1 
SK01fCZe,2 ,3 ,3 ,4 ,1 
SK01G6Is,1 ,2 ,2 ,3 ,1 
SK01GhN2,2 ,3 ,3 ,4 ,1 
SK01GJkF,1 ,2 ,2 ,3 ,1 
SK01GqLH,1 ,2 ,2 ,3 ,1 
SK01gyjT,31 ,41 ,53 ,70 ,23 
SK01hKIA,6 ,8 ,10 ,14 ,5 
SK01igtc,1 ,1 ,1 ,2 ,1 
SK01jeiL,1 ,1 ,2 ,3 ,1 
SK01LEYW,2 ,3 ,4 ,5 ,2 
SK01lJNn,2 ,2 ,3 ,4 ,1 
SK01maSo,1 ,1 ,2 ,2 ,1 
SK01mnMv,1 ,1 ,1 ,2 ,1 
SK01O6SH,2 ,3 ,3 ,4 ,1 
SK01PIkn,2 ,2 ,3 ,4 ,1 
SK01pVbY,2 ,3 ,4 ,6 ,2 
SK01R3xl,1 ,1 ,2 ,2 ,1 
SK01RKtr,1 ,1 ,2 ,2 ,1 
SK01rMdi,1 ,1 ,1 ,2 ,1 
SK01rsLQ,1 ,2 ,2 ,3 ,1 
SK01sleD,1 ,1 ,1 ,1 ,0 
SK01thao,1 ,1 ,1 ,2 ,1 
SK01Tsex,1 ,2 ,2 ,3 ,1 
SK01u9KN,2 ,2 ,3 ,3 ,1 
SK01UCtF,1 ,1 ,1 ,2 ,1 
SK01uG2z,1 ,2 ,2 ,3 ,1 
SK01UlJX,1 ,1 ,1 ,1 ,0 
SK01V6KB,1 ,1 ,2 ,2 ,1 
SK01vEmw,1 ,2 ,2 ,3 ,1 
SK01Wkv7,0 ,1 ,1 ,1 ,0 
SK01XIGT,6 ,8 ,10 ,13 ,4 
SK01yUKJ,3 ,4 ,6 ,7 ,2 
SK021AWH,2 ,2 ,3 ,4 ,1 
SK023ZMJ,2 ,3 ,3 ,4 ,1 
SK024IYU,3 ,4 ,6 ,8 ,3 
SK025ydH,2 ,2 ,3 ,4 ,1 
SK026mSi,3 ,4 ,6 ,8 ,3 
SK027dYe,1 ,1 ,2 ,2 ,1 
